,boroughs,x,y
0,City of London,-12.0,46.0
1,City of Westminster,-82.0,45.0
2,Kensington and Chelsea,-136.0,31.0
3,Hammersmith and Fulham,-161.0,18.0
4,Wandsworth,-109.0,-69.0
5,Lambeth,-39.0,-46.0
6,Southwark,10.0,-23.0
7,Tower Hamlets,58.0,64.0
8,Hackney,39.0,108.0
9,Islington,-20.0,115.0
,10,Camden,-99.0,114.0
,11,Brent,-192.0,115.0
,12,Ealing,-276.0,61.0
,13,Hounslow,-311.0,-24.0
,14,Richmond,-241.0,-75.0
,15,Kingston,-228.0,-190.0
,16,Merton,-136.0,-138.0
,17,Sutton,-91.0,-233.0
,18,Croydon,28.0,-216.0
,19,Bromley,163.0,-189.0
,20,Lewisham,84.0,-70.0
,21,Greenwich,159.0,-29.0
,22,Bexley,245.0,-40.0
,23,Havering,315.0,98.0
,24,Barking and Dagenham,265.0,101.0
,25,Redbridge,177.0,175.0
,26,Newham,134.0,70.0
,27,Waltham Forest,79.0,182.0
,28,Haringey,-21.0,185.0
,29,Enfield,-20.0,276.0
,30,Barnet,-134.0,235.0
,31,Harrow,-271.0,199.0
,32,Hillingdon,-407.0,151.0
